id,modulo,semana,tema,subtema,nivel,tipo_pregunta,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,respuesta_correcta,respuesta_texto,explicacion,fuente_base,fuente_url,tags
11,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Completar,"En una evaluación tipo Senati, si aparece la descripción «Activity», la respuesta esperada sería:",Componente de Android que representa una pantalla con la que el usuario interactúa.,Drawable,Estructura de control que permite seleccionar entre varios casos posibles.,ViewModel,Fragment,A,Componente de Android que representa una pantalla con la que el usuario interactúa.,"Para esa descripción, se debe marcar Componente de Android que representa una pantalla con la que el usuario interactúa..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
12,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Relación,¿Qué concepto es clave en Android Studio y Java porque permite/representa lo siguiente: activity?,Dispositivo que detecta una variable física y la convierte en una señal medible.,Método llamado cuando la Activity pasa al primer plano e interactúa con el usuario.,"Relación entre voltaje, corriente y resistencia: V = I × R.",Componente de Android que representa una pantalla con la que el usuario interactúa.,ViewModel,D,Componente de Android que representa una pantalla con la que el usuario interactúa.,El concepto clave es Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
13,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Intermedio,Relación,Relaciona el concepto con su función: Activity,Sensor usado comúnmente para medir temperatura y humedad ambiental.,Intent,Vista que permite al usuario ejecutar una acción al presionarla.,Drawable,Componente de Android que representa una pantalla con la que el usuario interactúa.,E,Componente de Android que representa una pantalla con la que el usuario interactúa.,La relación correcta es con Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
14,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Completar,¿Qué alternativa describe correctamente un elemento de Android Studio y Java: activity?,ViewModel,Drawable,Componente de Android que representa una pantalla con la que el usuario interactúa.,Fragment,Espacio donde se almacena el historial y archivos de un proyecto controlado por Git.,C,Componente de Android que representa una pantalla con la que el usuario interactúa.,Esa descripción corresponde a Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
15,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Completar,Selecciona la opción que completa correctamente: «Componente de Android que representa una pantalla con la que el usuario interactúa. es...»,Protocolo de transporte orientado a conexión que garantiza entrega ordenada de datos.,Componente de Android que representa una pantalla con la que el usuario interactúa.,Evento que se dispara cuando el usuario pulsa una vista o botón.,Button,ViewModel,B,Componente de Android que representa una pantalla con la que el usuario interactúa.,Componente de Android que representa una pantalla con la que el usuario interactúa. se define como: Activity,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
16,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Completar,¿Cuál de estos términos sería más probable como respuesta en una pregunta sobre Android Studio y Java?,Componente de Android que representa una pantalla con la que el usuario interactúa.,ViewModel,Definición de un endpoint y método HTTP en una aplicación Express.,ORM para Node.js que permite trabajar con bases de datos relacionales mediante modelos.,Función usada para leer valores analógicos desde un pin compatible.,A,Componente de Android que representa una pantalla con la que el usuario interactúa.,"El término más probable es Componente de Android que representa una pantalla con la que el usuario interactúa., porque activity",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
17,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Intermedio,Definición,"Si estás resolviendo un test de opción múltiple y la pista es «Activity», ¿cuál eliges?",Drawable,Método usado para generar predicciones con un modelo entrenado.,Formato usado frecuentemente para guardar modelos Keras en entornos Python.,"Relación entre voltaje, corriente y resistencia: V = I × R.",Componente de Android que representa una pantalla con la que el usuario interactúa.,E,Componente de Android que representa una pantalla con la que el usuario interactúa.,La pista apunta a Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
18,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Intermedio,Relación,"¿Qué herramienta, método o concepto corresponde a esta descripción técnica: activity?",Fragment,Componente de Android que representa una pantalla con la que el usuario interactúa.,ViewModel,Método HTTP usado para reemplazar o actualizar un recurso completo.,Placa basada en ESP8266 con conectividad WiFi integrada para proyectos IoT.,B,Componente de Android que representa una pantalla con la que el usuario interactúa.,Corresponde a Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
19,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Completar,"Durante una explicación del curso, el docente define: activity. ¿Cuál término completa la idea?",Fragment,Componente de Android que representa una pantalla con la que el usuario interactúa.,Copia de un repositorio en la cuenta de otro usuario para modificarlo de forma independiente.,ViewModel,Button,B,Componente de Android que representa una pantalla con la que el usuario interactúa.,Corresponde a Componente de Android que representa una pantalla con la que el usuario interactúa.: Activity,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
20,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Completar,"Durante una explicación del curso, el docente define: activity. ¿Cuál término completa la idea? (Tema: Android Studio y Java)",Button,Método HTTP usado para crear o enviar nuevos datos al servidor.,Drawable,Componente de Android que representa una pantalla con la que el usuario interactúa.,Sistema de gestión de base de datos relacional usado en aplicaciones backend.,D,Componente de Android que representa una pantalla con la que el usuario interactúa.,Corresponde a Componente de Android que representa una pantalla con la que el usuario interactúa.: Activity,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
21,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Intermedio,Relación,¿Qué concepto se define como: «Android Studio»?,Node.js,Docker,React,Librería cliente HTTP usada en Android para consumir servicios REST de forma estructurada.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","La definición corresponde a IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
22,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Intermedio,Relación,"En el tema de Android Studio y Java, ¿cuál es la opción correcta para: android studio?",MySQL,Versión optimizada de TensorFlow para ejecutar modelos en dispositivos móviles o embebidos.,Procesamiento de datos cerca del dispositivo o fuente de datos para reducir latencia y dependencia de la nube.,Placa basada en ESP8266 con conectividad WiFi integrada para proyectos IoT.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","En Android Studio y Java, el concepto correcto es IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
23,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Definición,"Complete la frase: En Android Studio y Java, ______ se relaciona con android studio",Archivo con instrucciones para construir una imagen Docker.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",Mensaje temporal en la parte inferior que puede incluir una acción para el usuario.,Bloque de un notebook usado para escribir explicaciones en Markdown.,Node.js,B,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","La palabra que completa la frase es IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
24,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Relación,¿Cuál de las siguientes opciones pertenece directamente al tema «Android Studio y Java» y cumple esta función: android studio?,React,Modelo de Keras que organiza capas en una pila lineal.,MySQL,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",Librería que permite ejecutar modelos de machine learning en JavaScript y navegador.,D,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación. cumple esa función dentro de Android Studio y Java.",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
25,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Reconocimiento,"Si en un examen preguntan por android studio, ¿qué alternativa debes marcar?",Docker,Dispositivo que ejecuta una acción física a partir de una señal de control.,Método llamado cuando la Activity pasa al primer plano e interactúa con el usuario.,Procesador general usado para ejecutar tareas de cómputo secuencial o general.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","La alternativa correcta es IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
26,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Avanzado,Definición,¿Qué término técnico se asocia mejor con la siguiente idea: android studio?,Layout que organiza elementos en una sola dirección: horizontal o vertical.,Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,Librería para serializar y deserializar objetos Java/Kotlin desde y hacia JSON.,MySQL,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","El término técnico asociado es IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
27,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Intermedio,Relación,"En el módulo «Diseño y Desarrollo de Aplicaciones Móviles», ¿qué elemento se usa para android studio?",Biblioteca JavaScript para construir interfaces de usuario basadas en componentes.,React,Función usada para escribir un valor HIGH o LOW en un pin digital.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",Solicitud para revisar e integrar cambios de una rama o fork al proyecto principal.,D,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","Según el contenido del módulo, corresponde a IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
28,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Definición,¿Cuál es la respuesta correcta si se busca identificar: android studio?,MySQL,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",Node.js,Token firmado usado para autenticación y autorización en aplicaciones web y APIs.,Circuito integrado programable que controla entradas y salidas en sistemas embebidos.,B,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","La respuesta correcta es IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
29,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Completar,"Marca la alternativa que mejor representa el concepto de IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..","IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",Librería que facilita el manejo de formularios en React.,Node.js,Método HTTP usado para solicitar o leer recursos.,Estructura condicional que ejecuta instrucciones cuando una condición es verdadera.,A,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.: Android Studio",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
30,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Aplicación,¿Cuál opción NO debe confundirse con otros términos cuando la pregunta describe: android studio?,Formato usado frecuentemente para guardar modelos Keras en entornos Python.,Formato ligero de intercambio de datos común en APIs REST.,Librería que permite ejecutar modelos de machine learning en JavaScript y navegador.,React,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","No debe confundirse: la descripción apunta a IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
31,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Definición,"En una evaluación tipo Senati, si aparece la descripción «Android Studio», la respuesta esperada sería:",Arduino IDE,Coeficiente de determinación que indica proporción de variabilidad explicada por el modelo.,MySQL,Protocolo ligero de mensajería publish/subscribe usado frecuentemente en IoT.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","Para esa descripción, se debe marcar IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
32,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Definición,¿Qué concepto es clave en Android Studio y Java porque permite/representa lo siguiente: android studio?,React,Arduino IDE,Node.js,Cantidad de corriente eléctrica que circula por un circuito.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","El concepto clave es IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
33,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Relación,Relaciona el concepto con su función: Android Studio,Arduino IDE,Método del ciclo de vida donde normalmente se inicializa la Activity y se carga el layout.,Ataque que inyecta scripts maliciosos en páginas vistas por otros usuarios.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","La relación correcta es con IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
34,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Aplicación,¿Qué alternativa describe correctamente un elemento de Android Studio y Java: android studio?,MySQL,Método usado para generar predicciones con un modelo entrenado.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",Función usada para leer valores analógicos desde un pin compatible.,"Herramienta de programación visual basada en flujos para conectar dispositivos, APIs y servicios.",C,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","Esa descripción corresponde a IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
35,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Reconocimiento,"Selecciona la opción que completa correctamente: «IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación. es...»",Diferencia de potencial eléctrico que impulsa la corriente en un circuito.,Espacio donde se almacena el historial y archivos de un proyecto controlado por Git.,"Técnicas para manipular, filtrar, transformar o analizar imágenes digitales.",MySQL,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación. se define como: Android Studio",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
36,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Definición,¿Cuál de estos términos sería más probable como respuesta en una pregunta sobre Android Studio y Java?,Coeficiente de determinación que indica proporción de variabilidad explicada por el modelo.,Formato ligero de intercambio de datos común en APIs REST.,Docker,Arduino IDE,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","El término más probable es IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación., porque android studio",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
37,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Avanzado,Definición,"Si estás resolviendo un test de opción múltiple y la pista es «Android Studio», ¿cuál eliges?",Método llamado cuando la Activity pierde el foco parcialmente.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",React,Node.js,Arduino IDE,B,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","La pista apunta a IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
38,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Aplicación,"¿Qué herramienta, método o concepto corresponde a esta descripción técnica: android studio?","IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",React,Placa con sensores integrados usada en proyectos TinyML.,Lenguaje usado para lógica e interactividad en aplicaciones web y para usar TensorFlow.js.,Circuito integrado programable que controla entradas y salidas en sistemas embebidos.,A,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","Corresponde a IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
39,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Reconocimiento,Caso práctico: un estudiante necesita identificar el elemento que cumple esta función: android studio. ¿Cuál es?,Cliente HTTP usado como base para realizar solicitudes de red en Android.,React,Dispositivo que ejecuta una acción física a partir de una señal de control.,Función intermedia que procesa solicitudes y respuestas en Express antes de llegar al controlador final.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",E,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","Corresponde a IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.: Android Studio",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
40,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Android Studio,Básico,Reconocimiento,Caso práctico: un estudiante necesita identificar el elemento que cumple esta función: android studio. ¿Cuál es? (Tema: Android Studio y Java),MySQL,Estilo de arquitectura para servicios web que usa recursos y métodos HTTP.,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.",Docker,Arduino IDE,C,"IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.","Corresponde a IDE oficial para desarrollar aplicaciones Android, configurar proyectos, emuladores y herramientas de compilación.: Android Studio",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,ide"
41,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Emulador de Android,Básico,Relación,¿Qué concepto se define como: «Emulador de Android»?,Evento que se dispara cuando el usuario pulsa una vista o botón.,SQLite,Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,Hook de React para sincronizar componentes con sistemas externos o efectos secundarios.,Retrofit,C,Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,La definición corresponde a Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,emulador"
42,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Emulador de Android,Intermedio,Aplicación,"En el tema de Android Studio y Java, ¿cuál es la opción correcta para: emulador de android?",Circuito integrado programable que controla entradas y salidas en sistemas embebidos.,"Framework de machine learning usado para construir, entrenar y desplegar modelos.",Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,Sistema de gestión de base de datos relacional usado en aplicaciones backend.,Retrofit,C,Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,"En Android Studio y Java, el concepto correcto es Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,emulador"
43,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Emulador de Android,Básico,Aplicación,"Complete la frase: En Android Studio y Java, ______ se relaciona con emulador de android",Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,Unidad aislada y portable que ejecuta una aplicación con sus dependencias.,SQLite,Gradle,Sistema de control de versiones distribuido para registrar cambios en archivos y código.,A,Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico.,La palabra que completa la frase es Herramienta que permite ejecutar y probar una app Android sin usar un dispositivo físico..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,emulador"
