id,modulo,semana,tema,subtema,nivel,tipo_pregunta,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,respuesta_correcta,respuesta_texto,explicacion,fuente_base,probabilidad_salida,prioridad,origen_refuerzo,tags,validado,criterio_depuracion
500013,Aplicaciones Móviles Android,,UI,Fragmento,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Parte reutilizable de una interfaz que puede vivir dentro de una Activity.”?,Almacenamiento interno,SharedPreferences,Fragment,ImageView,Retrofit,C,Fragment,Un Fragment divide y reutiliza partes de la interfaz.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, UI, Fragmento, Fragment",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500014,Aplicaciones Móviles Android,,UI,Elemento visual,Básico,Definición directa,"¿Qué concepto corresponde a esta definición: “Componente visual individual como texto, botón o imagen.”?",Layout,RelativeLayout,onStop,String,View,E,View,View es la clase base de los elementos visuales.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, UI, Elemento visual, View",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500015,Aplicaciones Móviles Android,,UI,Organización,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Contenedor que organiza la posición de los elementos visuales.”?,Android App Bundle,onStop,Layout,Google Play Console,PUT,C,Layout,Un Layout define cómo se acomodan las vistas.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, UI, Organización, Layout",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500016,Aplicaciones Móviles Android,,UI,Diseño,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Lenguaje usado para definir interfaces visuales en Android.”?,LinearLayout,Gson,XML,SELECT,INSERT,C,XML,XML describe la estructura de la interfaz.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, UI, Diseño, XML",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500017,Aplicaciones Móviles Android,,Layouts,Lineal,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Layout que organiza elementos en orientación horizontal o vertical.”?,Layout,for,LinearLayout,onResume,SQLite,C,LinearLayout,LinearLayout ordena elementos en línea.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Layouts, Lineal, LinearLayout",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500018,Aplicaciones Móviles Android,,Layouts,Restricciones,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Layout flexible que posiciona elementos mediante restricciones.”?,ConstraintLayout,Método,POST,while,Room,A,ConstraintLayout,ConstraintLayout permite diseños adaptables mediante constraints.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Layouts, Restricciones, ConstraintLayout",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500019,Aplicaciones Móviles Android,,Layouts,Relativo,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Layout que ubica elementos en relación con otros elementos.”?,Toast,LinearLayout,CRUD,API REST,RelativeLayout,E,RelativeLayout,RelativeLayout posiciona vistas según otras vistas.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Layouts, Relativo, RelativeLayout",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500020,Aplicaciones Móviles Android,,Vistas,Texto,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Vista usada para mostrar texto en pantalla.”?,Moshi,Google Play Console,Retrofit,TextView,SELECT,D,TextView,TextView muestra texto al usuario.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Vistas, Texto, TextView",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500021,Aplicaciones Móviles Android,,Vistas,Botón,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Vista que permite ejecutar una acción al presionarla.”?,Android Studio,onClick,Button,Método,Toast,C,Button,Button dispara acciones mediante eventos.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Vistas, Botón, Button",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500022,Aplicaciones Móviles Android,,Vistas,Imagen,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Vista usada para mostrar imágenes dentro de la app.”?,TextView,Almacenamiento interno,Material Design,POST,ImageView,E,ImageView,ImageView presenta recursos gráficos.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Vistas, Imagen, ImageView",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500023,Aplicaciones Móviles Android,,Ciclo de vida,Inicio,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Método llamado al crear por primera vez una Activity.”?,strings.xml,Método,SELECT,Moshi,onCreate,E,onCreate,onCreate inicializa la Activity.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Inicio, onCreate",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500024,Aplicaciones Móviles Android,,Ciclo de vida,Visible,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Método llamado cuando la Activity se vuelve visible.”?,Emulador Android,Intent,AlertDialog,onStart,switch,D,onStart,onStart indica que la Activity será visible.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Visible, onStart",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500025,Aplicaciones Móviles Android,,Ciclo de vida,Primer plano,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Método llamado cuando la Activity pasa al primer plano e interactúa con el usuario.”?,colors.xml,Google Play Console,UPDATE,onResume,XML,D,onResume,onResume indica interacción activa.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Primer plano, onResume",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500026,Aplicaciones Móviles Android,,Ciclo de vida,Pausa,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Método llamado cuando la Activity pierde el foco parcialmente.”?,ViewModel,SELECT,Moshi,onPause,String,D,onPause,onPause pausa tareas al perder foco.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Pausa, onPause",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500027,Aplicaciones Móviles Android,,Ciclo de vida,Detención,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Método llamado cuando la Activity deja de ser visible.”?,INSERT,Método,colors.xml,LinearLayout,onStop,E,onStop,onStop ocurre cuando la pantalla ya no se ve.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Detención, onStop",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500028,Aplicaciones Móviles Android,,Ciclo de vida,Destrucción,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Método llamado antes de destruir una Activity.”?,JSON,TextView,onDestroy,DELETE HTTP,onPause,C,onDestroy,onDestroy libera recursos finales.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Destrucción, onDestroy",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500029,Aplicaciones Móviles Android,,Eventos,Clic,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Evento que se ejecuta al presionar brevemente un elemento.”?,XML,String,onClick,switch,Layout,C,onClick,onClick maneja clics normales.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Eventos, Clic, onClick",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500030,Aplicaciones Móviles Android,,Eventos,Clic largo,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Evento que se activa al mantener presionado un elemento.”?,String,Android Studio,onLongClick,Layout,DELETE,C,onLongClick,onLongClick responde a pulsaciones prolongadas.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Eventos, Clic largo, onLongClick",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500031,Aplicaciones Móviles Android,,Mensajes,Breve,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Mensaje corto y temporal que aparece sin bloquear la pantalla.”?,Material Design,Toast,SQLite,String,ImageView,B,Toast,Toast muestra avisos simples y breves.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Mensajes, Breve, Toast",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500032,Aplicaciones Móviles Android,,Mensajes,Acción,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Mensaje temporal que puede incluir una acción para el usuario.”?,for,SELECT,View,Parsing JSON,Snackbar,E,Snackbar,Snackbar muestra mensajes con opción de acción.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Mensajes, Acción, Snackbar",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500033,Aplicaciones Móviles Android,,Mensajes,Diálogo,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Ventana que solicita confirmación o muestra información importante.”?,AlertDialog,Fragment,onStop,if,LiveData,A,AlertDialog,AlertDialog exige mayor atención del usuario.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Mensajes, Diálogo, AlertDialog",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500034,Aplicaciones Móviles Android,,Datos,Base local,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Base de datos local ligera integrada en Android.”?,Material Design,onLongClick,Parsing JSON,SQLite,onStop,D,SQLite,SQLite almacena datos estructurados en el dispositivo.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Datos, Base local, SQLite",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500035,Aplicaciones Móviles Android,,Datos,CRUD,Básico,Definición directa,"¿Qué concepto corresponde a esta definición: “Conjunto de operaciones Create, Read, Update y Delete.”?",Material Design,LiveData,CRUD,ImageView,Parsing JSON,C,CRUD,CRUD resume las operaciones básicas sobre datos.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Datos, CRUD, CRUD",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500036,Aplicaciones Móviles Android,,SQL,Consulta,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Sentencia SQL usada para leer registros.”?,onDestroy,CRUD,SELECT,for,onClick,C,SELECT,SELECT consulta datos en una tabla.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, SQL, Consulta, SELECT",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500037,Aplicaciones Móviles Android,,SQL,Inserción,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Sentencia SQL usada para agregar registros.”?,Intent,String,onClick,Material Design,INSERT,E,INSERT,INSERT agrega nuevos datos.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, SQL, Inserción, INSERT",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500038,Aplicaciones Móviles Android,,SQL,Actualización,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Sentencia SQL usada para modificar registros.”?,boolean,Moshi,Caché,UPDATE,Intent,D,UPDATE,UPDATE cambia registros existentes.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, SQL, Actualización, UPDATE",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500039,Aplicaciones Móviles Android,,SQL,Eliminación,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Sentencia SQL usada para borrar registros.”?,Material Design,DELETE,onPause,View,Toast,B,DELETE,DELETE elimina registros.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, SQL, Eliminación, DELETE",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500040,Aplicaciones Móviles Android,,Red,Arquitectura,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Estilo de API que permite comunicar la app con un servidor usando HTTP.”?,onResume,API REST,LinearLayout,Intent,Room,B,API REST,REST permite consumir recursos mediante métodos HTTP.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Red, Arquitectura, API REST",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500041,Aplicaciones Móviles Android,,HTTP,Obtener,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Método HTTP usado principalmente para consultar información.”?,View,Fragment,RelativeLayout,GET,while,D,GET,GET solicita datos al servidor.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, HTTP, Obtener, GET",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500042,Aplicaciones Móviles Android,,HTTP,Crear,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Método HTTP usado para enviar o crear información.”?,AlertDialog,Toast,AndroidManifest.xml,UPDATE,POST,E,POST,POST envía datos al servidor.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, HTTP, Crear, POST",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500043,Aplicaciones Móviles Android,,HTTP,Actualizar,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Método HTTP usado para reemplazar o actualizar información.”?,String,PUT,DELETE,Activity,Caché,B,PUT,PUT actualiza recursos existentes.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, HTTP, Actualizar, PUT",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500044,Aplicaciones Móviles Android,,HTTP,Eliminar,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Método HTTP usado para borrar un recurso.”?,Google Play Console,XML,INSERT,colors.xml,DELETE HTTP,E,DELETE HTTP,DELETE elimina recursos en una API.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, HTTP, Eliminar, DELETE HTTP",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500045,Aplicaciones Móviles Android,,Red,Cliente REST,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Librería que facilita consumir servicios REST en Android.”?,INSERT,onStop,PUT,UPDATE,Retrofit,E,Retrofit,Retrofit simplifica llamadas HTTP a APIs.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Red, Cliente REST, Retrofit",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500046,Aplicaciones Móviles Android,,Red,Cliente HTTP,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Cliente HTTP usado internamente para ejecutar peticiones de red.”?,OkHttp,JSON,PUT,XML,Button,A,OkHttp,OkHttp gestiona conexiones y solicitudes HTTP.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Red, Cliente HTTP, OkHttp",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500047,Aplicaciones Móviles Android,,Datos,Intercambio,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Formato ligero de intercambio de datos usado en APIs.”?,Intent,Moshi,Button,JSON,onLongClick,D,JSON,JSON representa datos estructurados de forma ligera.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Datos, Intercambio, JSON",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500048,Aplicaciones Móviles Android,,Datos,Conversión,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Proceso de convertir JSON a objetos o viceversa.”?,Parsing JSON,String,AlertDialog,CRUD,View,A,Parsing JSON,El parsing interpreta datos JSON para usarlos en la app.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Datos, Conversión, Parsing JSON",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500049,Aplicaciones Móviles Android,,Datos,Serialización,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Librería usada para convertir objetos Java/Kotlin a JSON y JSON a objetos.”?,Google Play Console,Gson,onStart,RelativeLayout,XML,B,Gson,Gson serializa y deserializa JSON.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Datos, Serialización, Gson",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500050,Aplicaciones Móviles Android,,Datos,Serialización,Intermedio,Definición directa,¿Qué concepto corresponde a esta definición: “Librería moderna para convertir JSON a objetos y objetos a JSON.”?,LiveData,Moshi,SQLite,POST,API REST,B,Moshi,Moshi es una alternativa moderna para manejar JSON.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Datos, Serialización, Moshi",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500051,Soluciones IoT,,IoT,Definición,Básico,Definición directa,"¿Qué concepto corresponde a esta definición: “Red de objetos físicos conectados que capturan, procesan o envían datos.”?",Internet de las Cosas,Comunicación paralela,Resistencia fija,Potenciómetro,digitalWrite(),A,Internet de las Cosas,IoT conecta dispositivos físicos a redes para intercambiar datos.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Soluciones IoT, IoT, Definición, Internet de las Cosas",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500052,Soluciones IoT,,Electrónica,Digital,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Área que trabaja con señales discretas como 0 y 1.”?,MQTT,Electrónica digital,Condicional,Sistema embebido,Sistema binario,B,Electrónica digital,La electrónica digital usa estados discretos.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Soluciones IoT, Electrónica, Digital, Electrónica digital",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500053,Soluciones IoT,,Electrónica,Analógica,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Área que trabaja con señales continuas.”?,loop(),analogRead(),Broker MQTT,Electrónica analógica,Comunicación paralela,D,Electrónica analógica,La electrónica analógica usa valores continuos.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Soluciones IoT, Electrónica, Analógica, Electrónica analógica",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500054,Soluciones IoT,,Hardware,Control,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Circuito integrado programable que controla entradas y salidas.”?,setup(),Internet de las Cosas,Microcontrolador,Arduino,Electrónica analógica,C,Microcontrolador,Un microcontrolador ejecuta instrucciones para controlar hardware.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Soluciones IoT, Hardware, Control, Microcontrolador",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500055,Soluciones IoT,,Magnitudes,Voltaje,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Diferencia de potencial eléctrico entre dos puntos.”?,Cloud IoT,Actuador,Voltaje,Display de 7 segmentos,HTTP,C,Voltaje,El voltaje impulsa el movimiento de cargas eléctricas.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Soluciones IoT, Magnitudes, Voltaje, Voltaje",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500056,Soluciones IoT,,Magnitudes,Corriente,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Flujo de carga eléctrica en un circuito.”?,analogRead(),LED,Python,digitalWrite(),Amperaje,E,Amperaje,El amperaje mide corriente eléctrica.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Soluciones IoT, Magnitudes, Corriente, Amperaje",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
